Y;Fieldvalue
-1.1760E+01;7.5880E+00
-1.1759E+01;7.5894E+00
-1.1758E+01;7.5908E+00
-1.1757E+01;7.5922E+00
-1.1756E+01;7.5935E+00
-1.1755E+01;7.5949E+00
-1.1754E+01;7.5963E+00
-1.1753E+01;7.5977E+00
-1.1752E+01;7.5990E+00
-1.1751E+01;7.6004E+00
-1.1750E+01;7.6018E+00
-1.1749E+01;7.6032E+00
-1.1748E+01;7.6045E+00
-1.1747E+01;7.6059E+00
-1.1746E+01;7.6073E+00
-1.1745E+01;7.6087E+00
-1.1744E+01;7.6100E+00
-1.1743E+01;7.6114E+00
-1.1742E+01;7.6128E+00
-1.1741E+01;7.6142E+00
-1.1740E+01;7.6155E+00
-1.1739E+01;7.6169E+00
-1.1738E+01;7.6183E+00
-1.1737E+01;7.6197E+00
-1.1736E+01;7.6210E+00
-1.1735E+01;7.6224E+00
-1.1734E+01;7.6238E+00
-1.1733E+01;7.6252E+00
-1.1732E+01;7.6265E+00
-1.1731E+01;7.6279E+00
-1.1730E+01;7.6293E+00
-1.1729E+01;7.6307E+00
-1.1728E+01;7.6320E+00
-1.1727E+01;7.6334E+00
-1.1726E+01;7.6348E+00
-1.1725E+01;7.6362E+00
-1.1724E+01;7.6375E+00
-1.1723E+01;7.6389E+00
-1.1722E+01;7.6403E+00
-1.1721E+01;7.6417E+00
-1.1720E+01;7.6430E+00
-1.1719E+01;7.6444E+00
-1.1718E+01;7.6458E+00
-1.1717E+01;7.6472E+00
-1.1716E+01;7.6485E+00
-1.1715E+01;7.6499E+00
-1.1714E+01;7.6513E+00
-1.1713E+01;7.6527E+00
-1.1712E+01;7.6540E+00
-1.1711E+01;7.6554E+00
-1.1710E+01;7.6568E+00
-1.1709E+01;7.6582E+00
-1.1708E+01;7.6595E+00
-1.1707E+01;7.6609E+00
-1.1706E+01;7.6623E+00
-1.1705E+01;7.6637E+00
-1.1704E+01;7.6650E+00
-1.1703E+01;7.6664E+00
-1.1702E+01;7.6678E+00
-1.1701E+01;7.6692E+00
-1.1700E+01;7.6705E+00
-1.1699E+01;7.6719E+00
-1.1698E+01;7.6733E+00
-1.1697E+01;7.6747E+00
-1.1696E+01;7.6760E+00
-1.1695E+01;7.6774E+00
-1.1694E+01;7.6788E+00
-1.1693E+01;7.6802E+00
-1.1692E+01;7.6815E+00
-1.1691E+01;7.6829E+00
-1.1690E+01;7.6843E+00
-1.1689E+01;7.6857E+00
-1.1688E+01;7.6870E+00
-1.1687E+01;7.6884E+00
-1.1686E+01;7.6898E+00
-1.1685E+01;7.6912E+00
-1.1684E+01;7.6925E+00
-1.1683E+01;7.6939E+00
-1.1682E+01;7.6953E+00
